Heure,Valeur
5619,9720
5630,3600
5640,720
5650,2880
5660,2160
5670,5040
5680,7200
5690,7560
5700,8640
5710,2520
5720,8280
5730,4320
5741,3240
5751,4320
5761,5760
5771,9720
5781,5760
5791,360
5801,6480
5811,1440
5821,5400
5831,4320
5841,4680
5851,5400
5861,5760
5871,3240
5882,5040
5892,4320
5902,2520
5912,360
5922,4680
5932,1440
5942,1080
5952,7560
5962,2160
5972,1080
5982,1800
5992,6120
6003,3240
6013,4320
6023,3240
6033,360
6043,5760
6053,3600
6063,5760
6073,6480
6083,3240
6093,360
6103,5760
6113,8640
6123,7200
6134,2880
6144,2880
6154,7200
6164,7200
6174,2880
6184,1800
6194,4680
6204,4320
6214,2160
6224,1080
6234,2160
6244,720
6254,9360
6264,6840
6274,5040
6284,6480
6295,720
6305,4680
6315,3600
6325,2880
6335,2160
6345,1800
6355,4320
6365,1800
6375,1800
6385,6120
6395,3240
6405,5760
6416,9000
6426,5040
6436,10080
6446,5760
6456,8280
6466,5040
6476,1800
6486,2880
6496,6120
6506,4320
6516,7200
6526,6120
6536,6480
6546,3240
6556,5400
6567,7200
6577,1080
6587,6120
6597,3240
6607,4680
6617,720
6627,3960
6637,5760
6647,4320
6657,5040
6667,1800
6677,3600
6687,3600
6697,4320
6708,5400
6718,2520
6728,4680
6738,4320
6748,1080
6758,6480
6768,3960
6778,2160
6788,3600
6798,1800
6808,4320
6818,1800
6828,3240
6838,4320
6848,1800
6859,3240
6869,3240
6879,2880
6889,3240
6899,1080
6909,5040
6919,8640
6929,2520
6939,3960
6949,3600
6959,2520
6969,1080
6979,1800
6989,360
7000,1440
7010,1800
7020,2160
7030,2520
7040,5400
7050,15120
7060,3600
7070,3240
7080,4680
7090,2520
7100,6840
7110,8280
7120,3960
7131,360
7141,2880
7151,4680
7161,3240
7171,4320
7181,13320
7191,7920
7201,1080
7211,6840
7221,2880
7231,5040
7242,2160
7252,360
7262,4320
7272,7200
7282,4680
7292,4680
7302,6840
7312,5400
7322,5760
7332,2880
7342,3960
7352,5400
7362,6120
7372,4320
7382,3960
7393,7200
7403,2880
7413,2160
7423,5040
7433,1080
7443,3240
7453,4320
7463,720
7473,3960
7483,7200
7493,1800
7503,5400
7513,6840
7523,3240
7534,3600
7544,2160
7554,3240
7564,5400
7574,3600
7584,1440
7594,3240
7604,9360
7614,1800
7624,2160
7634,3600
7644,4320
7654,5400
7664,2520
7675,1440
7685,4320
7695,4680
7705,5760
7715,5040
7725,1080
7735,4320
7745,3240
7755,1800
7765,4680
7776,2520
7786,2880
7796,2880
7806,6120
7816,3240
7826,720
7836,3960
7846,1080
7856,720
7866,2880
7876,6120
7886,5040
7896,8280
7906,2520
7916,6120
7927,5040
7937,4320
7947,4320
7957,3960
7967,3600
7977,2160
7987,360
7997,360
8025,360
8025,360
8028,2880
8038,2880
8048,2520
8058,2880
8068,5040
8078,3960
8088,2160
8098,5760
8108,6480
8118,3960
8128,3240
8139,6480
8149,2880
8159,720
8169,7920
8179,7920
8189,3240
8199,7560
8209,8280
8219,2880
8229,6120
8239,1800
8249,720
8259,8280
8269,5400
8280,3960
8290,6840
8300,2160
8310,7200
8320,5040
8330,4320
8340,7920
8350,2160
8360,1800
8370,360
8380,4680
8390,5760
8400,4680
8410,3240
8420,3240
8431,6480
8441,1440
8451,3600
8461,3960
8471,6480
8481,3240
8491,720
8501,1800
8511,1080
8521,360
8531,1800
8541,1800
8551,2160
8561,2520
8572,1440
8582,4680
8592,7920
8602,5400
8612,720
8622,5760
8632,3240
8642,11880
8652,7920
8662,3960
8672,720
8682,3600
8692,6480
8703,720
8713,3960
8723,7920
8733,5760
8743,3240
8753,5400
8763,5400
8773,5400
8783,3960
8793,2880
8803,1440
8814,6120
8824,2160
8834,7920
8844,1800
8854,5760
8864,2520
8874,1800
8884,6120
8894,5400
8904,2520
8914,4320
8924,6480
8934,3960
8944,3960
8954,3960
8965,2880
8975,4320
8985,3960
8995,3600
9005,5040
9015,5400
9025,5400
9035,2880
9045,8280
9055,1080
9065,5400
9075,5760
9085,360
9096,720
9106,2880
9116,1080
9126,5760
9136,4680
9146,4680
9156,6840
9166,7560
9176,1080
9186,10440
9196,2160
9206,4320
9217,6120
9227,5040
9237,2160
9247,9720
9257,6120
9267,5400
9277,5040
9287,7560
9297,5760
9307,2520
9317,8640
9327,7200
9337,2520
9347,5760
9358,3240
9368,4680
9378,2520
9388,4680
9398,5040
9408,8280
9418,720
9428,2880
9438,360
9448,2520
9458,3960
9468,3960
9479,2880
9489,3960
9499,6840
9509,3960
9519,2880
9529,360
9539,1080
9549,1800
9559,2520
9569,2160
9579,3600
9589,1440
9600,720
9610,1080
9620,4320
9630,3600
9640,9000
9650,3600
9660,7920
9670,8640
9680,6120
9690,4320
9700,7200
9710,4320
9720,1440
9731,7200
9741,9000
9751,5040
9761,7920
9771,5760
9781,2520
9791,5400
9801,5400
9811,5760
9821,4680
9831,3240
9841,7200
9851,9720
9861,1440
9872,3600
9882,6120
9892,2880
9902,3600
9912,2520
9922,10080
9932,2880
9942,7200
9952,2880
9962,5400
9972,4680
9982,5760
9993,3240
10003,7560
10013,5040
10023,4680
10033,3240
10043,4680
10053,7200
10063,1800
10073,5760
10083,720
10093,7560
10103,2880
10113,2160
10124,1080
10134,1440
10144,2520
10154,4680
10164,720
10174,1440
10184,1440
10194,3960
10204,3600
10214,1800
10224,5400
10234,6840
10244,8280
10254,1080
10265,3240
10275,5760
10285,3600
10295,720
10305,7920
10315,1080
10325,720
10335,9000
10345,4680
10355,7200
10365,5040
10375,720
10386,4320
10396,3240
10406,1440
10416,2160
10426,8280
10436,5040
10446,4680
10456,14400
10466,4680
10476,3600
10486,7560
10496,2880
10506,4680
10516,1440
10526,5400
10537,2520
10547,7920
10557,2880
10567,3240
10577,5760
10587,5040
10597,8280
10607,2880
10617,8280
10627,4680
10637,1800
10647,5400
10657,8280
10668,360
10678,4320
10688,1440
10698,360
10708,2520
10718,3600
10728,1440
10738,7920
10748,4320
10758,2520
10768,4680
10778,7560
10788,5040
10799,3960
10809,4680
10819,4680
10829,720
10839,4320
10849,5400
10859,2880
10869,2520
10879,5400
10889,5400
10899,3240
10909,4320
10919,2160
10929,5760
10939,2520
10949,360
10960,1800
10970,1800
10980,3600
10990,1800
11000,2160
11010,720
11020,5040
11030,360
11040,1440
11050,5040
11060,5760
11070,4680
11081,1440
11091,8640
11101,6840
11111,8640
11121,1080
11131,5760
11141,5400
11151,2160
11161,5400
11171,1080
11181,3240
11191,2160
11201,1080
11212,720
11222,5040
11232,9360
11242,1800
11252,2520
11262,5400
11272,4320
11282,6120
11292,4680
11302,5760
11312,3960
11322,4320
11332,6120
11343,1440
11353,10800
11363,7560
11373,8280
11383,1080
11393,7200
11403,1440
11413,2160
11423,3960
11433,10080
11443,6840
11454,7200
11464,3240
11474,1440
11484,3600
11494,1080
11504,1800
11514,360
11524,5760
11534,4680
11544,3240
11554,3600
11564,4680
11574,360
11584,360
11595,10440
11605,1080
11615,1080
11625,1800
11635,1800
11645,1080
11655,6480
11665,2520
11675,4320
11685,1080
11695,360
11705,7920
11715,3240
11726,2520
11736,5760
11746,4320
11756,8280
11766,2520
11776,5760
11786,4320
11796,2880
11806,3240
11816,720
11826,360
11836,4320
11846,1080
11857,2160
11867,2520
11877,2520
11887,3240
11897,4320
11907,2520
11917,2520
11927,5760
11937,1080
11947,7200
11957,9720
11967,9720
11978,6480
11988,11880
11998,4320
12008,4320
12018,8280
12028,3240
12038,4680
12048,10440
12058,7560
12068,7560
12078,5400
12088,720
12098,9720
12108,2880
12118,1440
12129,1800
12139,3960
12149,6480
12159,4680
12169,4680
12179,720
12189,1440
12199,3600
12209,7200
12219,3960
12229,2520
12239,6480
12249,3960
12260,2520
12270,2520
12280,2880
12290,2520
12300,3960
12310,2160
12320,720
12330,1080
12340,3240
12350,360
12360,360
12370,3600
12380,4680
12391,2880
12401,5760
12411,360
12421,1440
12431,2520
12441,5760
12451,7200
12461,3600
12471,720
12481,7200
12491,8640
12501,2160
12511,3600
12522,1080
12532,2520
12542,4680
12552,5040
12562,3240
12572,3240
12582,1080
12592,4680
12602,6120
12612,1440
12622,7200
12632,10800
12642,8640
12653,1080
12663,7200
12673,10800
12683,5760
12693,10800
12703,4320
12713,3600
12723,2520
12733,7560
12743,2520
12753,6840
12763,3240
12774,4320
12784,7560
12794,6120
12804,9720
12814,2880
12824,1800
12834,1440
12844,9000
12854,6120
12864,3240
12874,5040
12884,1080
12894,1080
12904,720
12915,1080
12925,3240
12935,1440
12945,1080
12955,8640
12965,5400
12975,2880
12985,3600
12995,360
13005,4320
13015,5040
13026,2160
13036,3960
13046,7200
13056,1080
13066,5760
13076,7920
13086,1440
13096,1080
13106,4680
13116,5040
13126,7920
13136,6480
13147,4680
13157,2880
13167,2520
13177,1440
13187,1440
13197,5760
13207,2160
13217,3960
13227,5760
13237,4320
13247,4680
13257,7200
13268,4320
13278,4320
13288,4320
13298,3240
13308,2160
13318,6120
13328,11160
13338,9000
13348,3960
13358,1440
13368,5400
13378,2880
13388,3960
13398,4680
13409,2160
13419,3960
13429,6120
13439,5040
13449,7560
13459,5760
13469,1440
13479,4320
13489,1080
13499,3960
13509,720
13519,6480
13529,1800
13539,6120
13550,7200
13560,360
13570,5040
13580,3960
13590,5040
13600,6480
13610,6480
13620,4320
13630,4320
13640,360
13650,3600
13660,5400
13671,1440
13681,1080
13691,1440
13701,360
13711,3240
13721,7200
13731,5760
13741,5040
13751,3600
13761,5400
13771,3240
13781,5760
13792,4680
13802,4320
13812,4320
13822,2880
13832,6480
13842,3240
13852,2520
13862,4680
13872,3600
13882,2160
13892,2520
13902,3960
13912,4320
13923,3600
13933,4680
13943,3600
13953,4320
13963,1440
13973,720
13983,2160
13993,5760
14003,3960
14013,1440
14023,6480
14033,4320
14043,2520
14053,1440
14063,7560
14074,9000
14084,1800
14094,10800
14104,2160
14114,5040
14124,6840
14134,5400
14144,3600
14154,3240
14164,11880
14174,6480
14184,3600
14194,9360
14204,12600
14214,7200
14225,1800
14235,5760
14245,7560
14255,1440
14265,2880
14275,5760
14285,360
14295,1440
14305,5760
14315,2520
14325,5040
14335,4320
14346,3960
14356,3600
14366,4680
14376,2160
14386,6480
14396,4680
14406,4320
14416,3960
14426,7920
14436,720
14446,3960
14456,1440
14466,6480
14476,2160
14486,360
14497,9000
14507,1440
